CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,Rain,Radn,MaxT,MinT,ThermalTime,Yieldkgha,FracGrowthRate,NutrientStress,TempStress,WaterStress,SimulationName,id_trial
1,1,Field,1991-07-13 12:00:00,1991,194,EarlyFlowering,4.317814950204863,0,24.074508666992188,27.34000015258789,14.420000076293945,8.589197309596933,0,1,1,1,1,Simulation,2
1,1,Field,1991-07-14 12:00:00,1991,195,EarlyFlowering,4.3962673423989,0,25.9168701171875,29.639999389648438,14.0600004196167,9.414287063284492,0,1,1,1,1,Simulation,2
1,1,Field,1991-07-15 12:00:00,1991,196,EarlyFlowering,4.4855819468383915,0,25.16644287109375,34.150001525878906,17.729999542236328,10.717752532738947,0,1,1,1,1,Simulation,2
1,1,Field,1991-07-16 12:00:00,1991,197,EarlyFlowering,4.580462595939181,0,23.041824340820313,34.7400016784668,20.520000457763672,11.385677892094707,0,1,1,1,0.9999999999999999,Simulation,2
1,1,Field,1991-07-17 12:00:00,1991,198,EarlyFlowering,4.673979555947379,16.399999618530273,17.959842681884766,31.25,17.059999465942383,11.222035200983782,0,1,1,1,1,Simulation,2
1,1,Field,1991-07-18 12:00:00,1991,199,EarlyFlowering,4.775195426292255,0,20.963783264160156,30.850000381469727,19.290000915527344,12.145904441385113,0,1,1,1,0.9999999999999997,Simulation,2
1,1,Field,1991-07-19 12:00:00,1991,200,EarlyFlowering,4.862213565591347,0,25.278034210205078,30.610000610351563,14.899999618530273,10.44217671589102,0,1,1,1,0.9999999999999999,Simulation,2
1,1,Field,1991-07-20 12:00:00,1991,201,EarlyFlowering,4.956093514508722,0,20.91029930114746,29.3700008392334,17.84000015258789,11.265593870085024,0,1,1,1,0.9999999999999998,Simulation,2
1,1,Field,1991-07-21 12:00:00,1991,202,EarlyPodDevelopment,5.040989676662871,16.579999923706055,16.750171661376953,29.670000076293945,16.719999313354492,11.007332991755293,0,1,1,1,1,Simulation,2
1,1,Field,1991-07-22 12:00:00,1991,203,EarlyPodDevelopment,5.109761491412006,0,19.843936920166016,26.709999084472656,16.200000762939453,9.628054064878885,0,1,1,1,0.9999999999999998,Simulation,2
1,1,Field,1991-07-23 12:00:00,1991,204,EarlyPodDevelopment,5.16496531853697,0,24.781951904296875,26.540000915527344,11.710000038146973,7.728535797494888,0,0.9125000476837158,1,0.9125000476837158,0.9999999999999999,Simulation,2
1,1,Field,1991-07-24 12:00:00,1991,205,EarlyPodDevelopment,5.2138009281460915,0,22.110733032226563,23.979999542236328,12.039999961853027,6.836985345277064,0,0.8009999752044679,1,0.8009999752044679,0.9999999999999998,Simulation,2
1,1,Field,1991-07-25 12:00:00,1991,206,EarlyPodDevelopment,5.256828151869551,0,26.443359375,25.420000076293945,8.359999656677246,6.023811321284399,0,0.6889999866485597,1,0.6889999866485597,1,Simulation,2
1,1,Field,1991-07-26 12:00:00,1991,207,EarlyPodDevelopment,5.308052127777527,0,26.306997299194336,27.1299991607666,9.40999984741211,7.171356627116581,0,0.8269999504089356,1,0.8269999504089356,1,Simulation,2
1,1,Field,1991-07-27 12:00:00,1991,208,EarlyPodDevelopment,5.355943010776672,0,21.95525360107422,23.799999237060547,11.539999961853027,6.704723619880316,0,0.7669999599456787,1,0.7669999599456787,0.9999999999999998,Simulation,2
1,1,Field,1991-07-28 12:00:00,1991,209,EarlyPodDevelopment,5.421849544403882,0,22.94761085510254,27.479999542236328,13.460000038146973,9.226914707809344,0,1,1,1,1,Simulation,2
1,1,Field,1991-07-29 12:00:00,1991,210,EarlyPodDevelopment,5.476080826833595,0,21.516990661621094,24.770000457763672,12.319999694824219,7.592379540159917,0,0.8545000076293946,1,0.8545000076293946,1,Simulation,2
