Site,Planting,Latitude,Longitude,Crop,Genetics
casselton_nd,05/05/2016,46.8973,-97.2124,soybean,0
casselton_nd,05/05/2016,46.8973,-97.2124,soybean,0
northwood_nd,05/06/2016,47.7389,-97.5708,soybean,0
northwood_nd,05/06/2016,47.7389,-97.5708,soybean,0
casselton_nd,05/06/2016,46.8973,-97.2124,soybean,0
casselton_nd,05/06/2016,46.8973,-97.2124,soybean,0
casselton_nd,05/05/2017,46.8973,-97.2124,soybean,0
casselton_nd,05/05/2017,46.8973,-97.2124,soybean,0
casselton_nd,05/07/2018,46.8973,-97.2124,soybean,0
casselton_nd,05/07/2018,46.8973,-97.2124,soybean,0
casselton_nd,05/19/2018,46.8973,-97.2124,soybean,0
casselton_nd,05/19/2018,46.8973,-97.2124,soybean,0
casselton_nd,05/17/2019,46.8973,-97.2124,soybean,0
casselton_nd,05/17/2019,46.8973,-97.2124,soybean,0
