Site,Planting,Y,X,Crop,Genetics,id_loc,id_trial,Year,Mat,Yield_Sim,Rain_0,Rain_1,Rain_2,Rain_3,Rain_4,Rain_5,Rain_6,Radn_0,Radn_1,Radn_2,Radn_3,Radn_4,Radn_5,Radn_6,MaxT_0,MaxT_1,MaxT_2,MaxT_3,MaxT_4,MaxT_5,MaxT_6,MinT_0,MinT_1,MinT_2,MinT_3,MinT_4,MinT_5,MinT_6,NutrientStress_0,NutrientStress_1,NutrientStress_2,NutrientStress_3,NutrientStress_4,NutrientStress_5,NutrientStress_6,TempStress_0,TempStress_1,TempStress_2,TempStress_3,TempStress_4,TempStress_5,TempStress_6,WaterStress_0,WaterStress_1,WaterStress_2,WaterStress_3,WaterStress_4,WaterStress_5,WaterStress_6,Start_DOY_0,Start_DOY_1,Start_DOY_2,Start_DOY_3,Start_DOY_4,Start_DOY_5,Start_DOY_6
watertown_sd,2005-05-25,44.9096,-97.1539,soybean,1,2,47,2005,B_80,1342.073713695996,1.1474305478235085,5.31869567995486,0.9096774132021013,1.831666668256124,2.0111764599295223,4.581249952316284,1.7046017580855208,13.937444157070583,18.34122898267663,22.4431182184527,20.97864842414856,18.615400482626523,14.954067945480347,7.837035805778166,6.397291691766845,21.68739128112793,29.05774184196226,28.720832983652752,27.109411744510425,28.417500019073486,8.777433591144803,-5.882361150812358,11.403043477431588,16.897419252703266,15.314166824022928,13.77117639429429,14.226249933242798,-2.0915929124550483,0.3,0.6956521739130435,1,1,1,1,0.3,0.25756200502205284,0.9796428584163973,1,1,1,1,0.35676042853316525,1,1,1,1,1,1,1,1,145,168,199,211,245,253
volga_sd,2005-05-25,44.3239,-96.9225,soybean,0,4,48,2005,B_80,3135.1401772745435,1.1668055522152119,4.835909044200724,2.1956666628519694,2.9107692058269796,2.6624242825941606,11.252500057220459,1.9013913180517115,13.662679033146965,18.110412554307416,22.194886875152587,20.353443219111515,18.73958905537923,15.68152403831482,8.127983194848765,7.267222220905953,22.289090676741168,29.16700007120768,29.343846541184647,27.282121138139203,27.901249885559082,9.807304369723019,-5.099861129704449,11.791818206960505,16.899999968210857,16.82230780674861,14.216969750144266,13.866250097751617,-1.4721739075754,0.3,0.6818181818181818,1,1,1,1,0.3,0.27126488006777233,0.9955519515198546,1,1,1,1,0.3874006218421533,1,1,1,1,1,1,1,1,145,167,197,210,243,251
volga_sd,2005-05-25,44.3239,-96.9225,soybean,2,4,49,2005,B_90,3626.2979020674065,1.1668055522152119,4.432916623850664,2.595000009983778,1.7224999368190765,4.447000044584274,6.15333350499471,1.5700000002980232,13.662679033146965,18.829829812049866,21.74135187268257,20.48769815762838,17.83937578201294,13.111935721503363,7.522818622680811,7.267222220905953,22.7129164536794,29.51750010251999,28.760000387827557,27.393749904632568,25.8988889058431,8.02471155827292,-5.099861129704449,11.869166672229767,17.244687467813492,16.44000021616618,14.037250053882598,13.722222169240316,-3.1063461454155354,0.3,0.7083333333333334,1,1,1,1,0.3,0.27126488006777233,0.9959226222265334,1,1,1,1,0.32260645684468875,1,1,1,1,1,1,1,1,145,169,201,213,253,262
volga_sd,2005-05-25,44.3239,-96.9225,soybean,1,4,50,2005,B_80,3135.1401772745435,1.1668055522152119,4.835909044200724,2.1956666628519694,2.9107692058269796,2.6624242825941606,11.252500057220459,1.9013913180517115,13.662679033146965,18.110412554307416,22.194886875152587,20.353443219111515,18.73958905537923,15.68152403831482,8.127983194848765,7.267222220905953,22.289090676741168,29.16700007120768,29.343846541184647,27.282121138139203,27.901249885559082,9.807304369723019,-5.099861129704449,11.791818206960505,16.899999968210857,16.82230780674861,14.216969750144266,13.866250097751617,-1.4721739075754,0.3,0.6818181818181818,1,1,1,1,0.3,0.27126488006777233,0.9955519515198546,1,1,1,1,0.3874006218421533,1,1,1,1,1,1,1,1,145,167,197,210,243,251
casselton_nd,2006-05-20,46.8973,-97.2124,soybean,0,1,51,2006,B_80,4803.104456727733,0.9164748251866951,1.1877777841356065,0.8436111278004117,0.6599999864896139,2.903999960422516,5.169000053405762,1.1072499910990397,12.59495465275195,22.39765108956231,22.771241876814102,22.30843702952067,17.57629254659017,15.353145313262939,7.821309464176496,5.160935248442584,26.799444516499836,27.121944586435955,32.416666666666664,29.14800001780192,25.197000122070314,9.678249983893087,-5.522805756266169,12.375000092718336,13.676388767030504,16.460000038146973,15.23100004196167,12.51700005531311,-2.3511666474553445,0.3,0.6888888888888889,1,1,1,1,0.3,0.24928571723347945,0.9887103149815211,1,1,1,1,0.2982559519631433,1,1,1,1,1,1,1,1,140,158,194,206,236,246
watertown_sd,2006-05-25,44.9096,-97.1539,soybean,0,2,52,2006,B_80,1126.5762506324795,1.0319444441960917,0.46444445186191136,1.3277777764532301,0.6645454547621987,3.5332258632106166,11.10636346990412,0.6811403653077912,13.277015664511257,22.168321821424698,22.761314815945095,22.103388352827594,17.289087449350664,15.519726363095371,8.230040579511408,6.5343749580076995,26.044444613986546,28.10277795791626,31.01999993757768,28.6261289658085,22.52636363289573,8.892894730707141,-3.874583353081511,13.024999989403618,14.322222100363838,15.990000117908824,15.643225977497716,10.464545423334295,-3.232456154288038,0.3,0.7277777777777777,1,1,1,1,0.3,0.2549925578817252,0.9685515922213358,1,1,1,0.9872727270250197,0.2564411023001474,1,1,1,1,1,1,1,1,145,163,199,210,241,252
watertown_sd,2006-05-25,44.9096,-97.1539,soybean,1,2,53,2006,B_80,1126.5762506324795,1.0319444441960917,0.46444445186191136,1.3277777764532301,0.6645454547621987,3.5332258632106166,11.10636346990412,0.6811403653077912,13.277015664511257,22.168321821424698,22.761314815945095,22.103388352827594,17.289087449350664,15.519726363095371,8.230040579511408,6.5343749580076995,26.044444613986546,28.10277795791626,31.01999993757768,28.6261289658085,22.52636363289573,8.892894730707141,-3.874583353081511,13.024999989403618,14.322222100363838,15.990000117908824,15.643225977497716,10.464545423334295,-3.232456154288038,0.3,0.7277777777777777,1,1,1,1,0.3,0.2549925578817252,0.9685515922213358,1,1,1,0.9872727270250197,0.2564411023001474,1,1,1,1,1,1,1,1,145,163,199,210,241,252
casselton_nd,2007-05-20,46.8973,-97.2124,soybean,0,1,54,2007,B_80,4295.753574917575,1.481079136296142,4.129090916026723,3.6093939127344075,1.700000007947286,1.7105882465839386,0,1.4058119491634207,13.052302942001562,19.029183171012185,21.012124437274355,20.670312881469727,17.72253101012286,18.585080742836,7.389580944664458,3.5323741103676585,22.69181810725819,28.063939296838008,30.03583335876465,26.45205873601577,29.75375008583069,7.580085526164781,-7.597769765116328,10.231818220832132,16.05363649310488,16.801666657129925,13.822352914249196,13.31375002861023,-3.408205123538645,0.3,0.6818181818181818,1,1,1,1,0.3,0.2626721493570557,0.9425973973490975,1,1,1,1,0.3588553090035115,1,1,1,1,1,1,1,1,140,162,195,207,241,249
watertown_sd,2007-05-25,44.9096,-97.1539,soybean,0,2,55,2007,B_80,1180.3779564483702,2.225625007516808,2.519047657648722,0.7464706056258258,0,3.393333361004338,2.0850000778834024,1.6208333240614996,14.027861012352837,20.045501254853747,22.66684372284833,21.124945713923527,16.812551801854912,15.654748996098837,7.705387223649908,4.699652852412934,23.550476165044877,27.76970594069537,30.27230746929462,25.910000078605883,21.760000069936115,7.75759255554941,-6.15812504138901,11.338095244907198,15.068235200994154,17.676153916579025,14.491212064569647,9.945833325386047,-3.6205555305436805,0.3,0.6666666666666666,1,1,1,1,0.3,0.2910912724771714,0.9781632638301979,1,1,1,0.8795535628284726,0.3284821430290187,1,1,1,1,1,1,1,1,145,166,200,213,246,258
watertown_sd,2007-05-25,44.9096,-97.1539,soybean,1,2,56,2007,B_80,1180.3779564483702,2.225625007516808,2.519047657648722,0.7464706056258258,0,3.393333361004338,2.0850000778834024,1.6208333240614996,14.027861012352837,20.045501254853747,22.66684372284833,21.124945713923527,16.812551801854912,15.654748996098837,7.705387223649908,4.699652852412934,23.550476165044877,27.76970594069537,30.27230746929462,25.910000078605883,21.760000069936115,7.75759255554941,-6.15812504138901,11.338095244907198,15.068235200994154,17.676153916579025,14.491212064569647,9.945833325386047,-3.6205555305436805,0.3,0.6666666666666666,1,1,1,1,0.3,0.2910912724771714,0.9781632638301979,1,1,1,0.8795535628284726,0.3284821430290187,1,1,1,1,1,1,1,1,145,166,200,213,246,258
