CheckpointID,SimulationID,Zone,Date,Year,Month,Day,StageName,Stage,Rain,Radn,MaxT,MinT,Yieldkgha,FracGrowthRate,NutrientStress,TempStress,WaterStress,SimulationName,id_trial
1,1,Field,1992-05-31 12:00:00,1992,5,31,,2.859838784281691,0,23.296642303466797,26.579999923706055,11.1899995803833,0,0.8884999752044678,1,0.8884999752044678,1,Simulation,5
1,1,Field,1992-06-01 12:00:00,1992,6,1,Emergence,3.00097817560845,0,24.98177719116211,27.3799991607666,10.300000190734863,0,0.8839999675750733,1,0.8839999675750733,1,Simulation,5
1,1,Field,1992-06-02 12:00:00,1992,6,2,,3.0182037821089662,0,24.595827102661133,25.770000457763672,9.460000038146973,0,0.7615000247955322,1,0.7615000247955322,0.9999999999999999,Simulation,5
1,1,Field,1992-06-03 12:00:00,1992,6,3,,3.040022016855894,11.670000076293945,18.49407958984375,28.110000610351563,11.270000457763672,0,0.9690000534057618,1,0.9690000534057618,1,Simulation,5
1,1,Field,1992-06-04 12:00:00,1992,6,4,,3.0550532299984043,0,22.703092575073242,23.75,9.65999984741211,0,0.6704999923706055,1,0.6704999923706055,1,Simulation,5
1,1,Field,1992-06-05 12:00:00,1992,6,5,,3.063854476611022,1.2599999904632568,20.63338851928711,19.5,7.599999904632568,0,0.35499999523162845,1,0.35499999523162845,1,Simulation,5
1,1,Field,1992-06-06 12:00:00,1992,6,6,,3.0673599883081986,0,15.64227294921875,14.729999542236328,6.369999885559082,0,0.05499997138977051,1,0.05499997138977051,0.9999999999999999,Simulation,5
1,1,Field,1992-06-07 12:00:00,1992,6,7,,3.072234464338798,0,24.91131019592285,17.15999984741211,2.5299999713897705,0,0,1,0,1,Simulation,5
1,1,Field,1992-06-08 12:00:00,1992,6,8,,3.084038802974942,0,27.761104583740234,23.440000534057617,5.449999809265137,0,0.44450001716613774,1,0.44450001716613774,1,Simulation,5
1,1,Field,1992-06-09 12:00:00,1992,6,9,,3.1016767993652876,0,26.555805206298828,26.479999542236328,9.539999961853027,0,0.8009999752044679,1,0.8009999752044679,1,Simulation,5
1,1,Field,1992-06-10 12:00:00,1992,6,10,,3.1242183045459835,0,27.49073028564453,29.389999389648438,11.140000343322754,0,1,1,1,0.9999999999999998,Simulation,5
1,1,Field,1992-06-11 12:00:00,1992,6,11,,3.1506199267804575,0,26.263935089111328,30.68000030517578,13.550000190734863,0,1,1,1,1,Simulation,5
1,1,Field,1992-06-12 12:00:00,1992,6,12,,3.1769428705252545,0,27.042024612426758,31.540000915527344,13.289999961853027,0,1,1,1,1,Simulation,5
1,1,Field,1992-06-13 12:00:00,1992,6,13,,3.203255083282092,0,25.882442474365234,30.399999618530273,13.720000267028809,0,1,1,1,1,Simulation,5
1,1,Field,1992-06-14 12:00:00,1992,6,14,,3.228981678392677,0.5099999904632568,24.455522537231445,29.309999465942383,14.3100004196167,0,1,1,1,1,Simulation,5
1,1,Field,1992-06-15 12:00:00,1992,6,15,,3.24315597570901,45.72999954223633,9.680838584899902,20,13.029999732971191,0,0.6514999866485596,1,0.6514999866485596,1,Simulation,5
1,1,Field,1992-06-16 12:00:00,1992,6,16,,3.2633919854277598,37.77000045776367,15.229085922241211,25.270000457763672,13.350000381469727,0,0.93100004196167,1,0.93100004196167,0.9999999999999999,Simulation,5
1,1,Field,1992-06-17 12:00:00,1992,6,17,,3.280552267053278,27.1200008392334,7.0594682693481445,20.34000015258789,15.460000038146973,0,0.7900000095367432,1,0.7900000095367432,1,Simulation,5
1,1,Field,1992-06-18 12:00:00,1992,6,18,,3.301235527652186,3.7799999713897705,15.359933853149414,25.309999465942383,13.739999771118164,0,0.9524999618530274,1,0.9524999618530274,1,Simulation,5
1,1,Field,1992-06-19 12:00:00,1992,6,19,,3.3063571565628322,0,13.365096092224121,15.470000267028809,8.949999809265137,0,0.22100000381469728,1,0.22100000381469728,0.9999999999999998,Simulation,5
1,1,Field,1992-06-20 12:00:00,1992,6,20,,3.313242750584946,0,26.125606536865234,19.200000762939453,4.010000228881836,0,0.16050004959106445,1,0.16050004959106445,0.9999999999999999,Simulation,5
1,1,Field,1992-06-21 12:00:00,1992,6,21,,3.3218992827506892,7.570000171661377,16.77806854248047,19.639999389648438,7.5,0,0.3569999694824219,1,0.3569999694824219,1,Simulation,5
1,1,Field,1992-06-22 12:00:00,1992,6,22,,3.3371158270821972,14.539999961853027,17.838010787963867,23.899999618530273,10.09000015258789,0,0.6994999885559082,1,0.6994999885559082,0.9999999999999998,Simulation,5
1,1,Field,1992-06-23 12:00:00,1992,6,23,,3.3554218803899305,0,22.60661506652832,24.940000534057617,11.869999885559082,0,0.840500020980835,1,0.840500020980835,0.9999999999999998,Simulation,5
1,1,Field,1992-06-24 12:00:00,1992,6,24,,3.3732868400666822,7.170000076293945,13.885551452636719,23.209999084472656,13.170000076293945,0,0.8189999580383301,1,0.8189999580383301,1,Simulation,5
1,1,Field,1992-06-25 12:00:00,1992,6,25,,3.384945404273373,0,17.493961334228516,19.850000381469727,10.819999694824219,0,0.5335000038146973,1,0.5335000038146973,0.9999999999999998,Simulation,5
1,1,Field,1992-06-26 12:00:00,1992,6,26,,3.394958814007403,0,26.002426147460938,21.489999771118164,6.130000114440918,0,0.3809999942779541,1,0.3809999942779541,1,Simulation,5
1,1,Field,1992-06-27 12:00:00,1992,6,27,,3.4125647073691296,0,26.46540069580078,26.34000015258789,9.699999809265137,0,0.8019999980926514,1,0.8019999980926514,1,Simulation,5
1,1,Field,1992-06-28 12:00:00,1992,6,28,,3.4325406572783095,0,23.183361053466797,25.75,12.399999618530273,0,0.9074999809265137,1,0.9074999809265137,0.9999999999999999,Simulation,5
1,1,Field,1992-06-29 12:00:00,1992,6,29,,3.4415906779373,0,25.290912628173828,20.450000762939453,6.130000114440918,0,0.3290000438690186,1,0.3290000438690186,0.9999999999999999,Simulation,5
1,1,Field,1992-06-30 12:00:00,1992,6,30,,3.4453220309222736,53.099998474121094,10.142593383789063,14.40999984741211,8.100000381469727,0,0.1255000114440918,1,0.1255000114440918,0.9999999999999999,Simulation,5
1,1,Field,1992-07-01 12:00:00,1992,7,1,,3.454002649329039,0,15.425837516784668,17.540000915527344,10.270000457763672,0,0.3905000686645508,1,0.3905000686645508,1,Simulation,5
1,1,Field,1992-07-02 12:00:00,1992,7,2,,3.4613553296803135,0.23000000417232513,7.117766380310059,14.779999732971191,11.8100004196167,0,0.3295000076293946,1,0.3295000076293946,1,Simulation,5
1,1,Field,1992-07-03 12:00:00,1992,7,3,,3.4699742178615463,0,19.280561447143555,18.309999465942383,9.319999694824219,0,0.3814999580383301,1,0.3814999580383301,1,Simulation,5
1,1,Field,1992-07-04 12:00:00,1992,7,4,,3.4803392644670863,0,25.19373893737793,20.8700008392334,7.610000133514404,0,0.42400004863739016,1,0.42400004863739016,1,Simulation,5
1,1,Field,1992-07-05 12:00:00,1992,7,5,,3.4936664497926793,0,26.62571907043457,23.270000457763672,8.100000381469727,0,0.5685000419616699,1,0.5685000419616699,1,Simulation,5
1,1,Field,1992-07-06 12:00:00,1992,7,6,,3.5092161526977854,0,23.750669479370117,23.170000076293945,10.520000457763672,0,0.6845000267028809,1,0.6845000267028809,0.9999999999999998,Simulation,5
1,1,Field,1992-07-07 12:00:00,1992,7,7,,3.533920827699866,0,26.010391235351563,28.790000915527344,12.850000381469727,0,1,1,1,1,Simulation,5
1,1,Field,1992-07-08 12:00:00,1992,7,8,,3.5580567195401986,0,22.276283264160156,26.489999771118164,14.539999961853027,0,1,1,1,0.9999999999999997,Simulation,5
1,1,Field,1992-07-09 12:00:00,1992,7,9,,3.5798565883800095,6.139999866485596,18.239168167114258,26.200000762939453,12.6899995803833,0,0.9445000171661377,1,0.9445000171661377,1,Simulation,5
1,1,Field,1992-07-10 12:00:00,1992,7,10,,3.594295427551227,0,20.42850112915039,21.139999389648438,11.300000190734863,0,0.621999979019165,1,0.621999979019165,0.9999999999999999,Simulation,5
1,1,Field,1992-07-11 12:00:00,1992,7,11,,3.6093690219161045,5.159999847412109,15.353601455688477,21.31999969482422,11.59000015258789,0,0.6454999923706055,1,0.6454999923706055,0.9999999999999998,Simulation,5
1,1,Field,1992-07-12 12:00:00,1992,7,12,,3.630526704712922,0,23.220319747924805,24.969999313354492,13.039999961853027,0,0.900499963760376,1,0.900499963760376,1,Simulation,5
1,1,Field,1992-07-13 12:00:00,1992,7,13,,3.6529062066012403,0,17.27312469482422,23.399999618530273,15.529999732971191,0,0.9464999675750733,1,0.9464999675750733,1,Simulation,5
1,1,Field,1992-07-14 12:00:00,1992,7,14,,3.6730161081705424,15.510000228881836,18.05947494506836,24.6299991607666,12.270000457763672,0,0.8449999809265137,1,0.8449999809265137,1,Simulation,5
1,1,Field,1992-07-15 12:00:00,1992,7,15,,3.6983756845504563,4.929999828338623,15.376629829406738,25.600000381469727,15.569999694824219,0,1,1,1,1,Simulation,5
1,1,Field,1992-07-16 12:00:00,1992,7,16,,3.717142885881561,2.0199999809265137,15.933661460876465,22.8700008392334,12.6899995803833,0,0.778000020980835,1,0.778000020980835,0.9999999999999998,Simulation,5
1,1,Field,1992-07-17 12:00:00,1992,7,17,,3.734657126721958,0,21.02628517150879,22.280000686645508,12.140000343322754,0,0.7210000514984132,1,0.7210000514984132,0.9999999999999998,Simulation,5
1,1,Field,1992-07-18 12:00:00,1992,7,18,,3.7558321086085646,0,24.971668243408203,25.610000610351563,11.699999809265137,0,0.865500020980835,1,0.865500020980835,1,Simulation,5
1,1,Field,1992-07-19 12:00:00,1992,7,19,,3.775190196980024,0,18.328310012817383,22.200000762939453,13.510000228881836,0,0.7855000495910645,1,0.7855000495910645,0.9999999999999996,Simulation,5
1,1,Field,1992-07-20 12:00:00,1992,7,20,,3.788566418627983,0.6200000047683716,26.15488624572754,22.489999771118164,7.610000133514404,0,0.5049999952316284,1,0.5049999952316284,1,Simulation,5
1,1,Field,1992-07-21 12:00:00,1992,7,21,,3.804531977095375,2.0299999713897705,19.395668029785156,23.81999969482422,8.829999923706055,0,0.6324999809265137,1,0.6324999809265137,1,Simulation,5
1,1,Field,1992-07-22 12:00:00,1992,7,22,,3.8250380545614098,0,22.12103271484375,23.8799991607666,12.390000343322754,0,0.8134999752044678,1,0.8134999752044678,0.9999999999999997,Simulation,5
1,1,Field,1992-07-23 12:00:00,1992,7,23,,3.841730748494429,0,25.63346290588379,24.040000915527344,9.039999961853027,0,0.6540000438690186,1,0.6540000438690186,1,Simulation,5
1,1,Field,1992-07-24 12:00:00,1992,7,24,,3.8603447104968933,0,19.216188430786133,21.989999771118164,12.550000190734863,0,0.7269999980926514,1,0.7269999980926514,1,Simulation,5
1,1,Field,1992-07-25 12:00:00,1992,7,25,,3.8896240361318233,0,20.544557571411133,26.860000610351563,15.829999923706055,0,1,1,1,1,Simulation,5
1,1,Field,1992-07-26 12:00:00,1992,7,26,,3.914469644870441,0,24.814878463745117,27.100000381469727,12,0,0.9550000190734864,1,0.9550000190734864,0.9999999999999997,Simulation,5
1,1,Field,1992-07-27 12:00:00,1992,7,27,,3.9451357810236356,0,26.074495315551758,31.1200008392334,12.6899995803833,0,1,1,1,0.9999999999999999,Simulation,5
1,1,Field,1992-07-28 12:00:00,1992,7,28,,3.9672693788234037,0,21.519657135009766,24.170000076293945,12.569999694824219,0,0.8369999885559083,1,0.8369999885559083,1,Simulation,5
1,1,Field,1992-07-29 12:00:00,1992,7,29,,3.985240343853678,0,23.445518493652344,23.350000381469727,10.130000114440918,0,0.6740000247955322,1,0.6740000247955322,1,Simulation,5
1,1,Field,1992-07-30 12:00:00,1992,7,30,StartFlowering,4.020176867898578,0,22.77254295349121,24.719999313354492,11.619999885559082,0,0.8169999599456788,1,0.8169999599456788,1,Simulation,5
1,1,Field,1992-07-31 12:00:00,1992,7,31,,4.10109998292499,0,25.743999481201172,30.079999923706055,11.239999771118164,0,1,1,1,0.9999999999999999,Simulation,5
1,1,Field,1992-08-01 12:00:00,1992,8,1,,4.185539687902021,0,23.406524658203125,28.809999465942383,13.25,0,1,1,1,1,Simulation,5
1,1,Field,1992-08-02 12:00:00,1992,8,2,,4.238309333860928,0,22.930339813232422,24.010000228881836,9.65999984741211,0,0.6835000038146973,1,0.6835000038146973,0.9999999999999999,Simulation,5
1,1,Field,1992-08-03 12:00:00,1992,8,3,,4.2804826171186825,0,22.802642822265625,22.25,8.149999618530273,0,0.5199999809265137,1,0.5199999809265137,0.9999999999999998,Simulation,5
1,1,Field,1992-08-04 12:00:00,1992,8,4,,4.324418422500063,0,22.752727508544922,22.520000457763672,8.329999923706055,0,0.5425000190734863,1,0.5425000190734863,0.9999999999999999,Simulation,5
1,1,Field,1992-08-05 12:00:00,1992,8,5,,4.380154339377023,0,25.022554397583008,25.8799991607666,7.659999847412109,0,0.6769999504089356,1,0.6769999504089356,0.9999999999999998,Simulation,5
1,1,Field,1992-08-06 12:00:00,1992,8,6,,4.45149479681288,37.599998474121094,15.647170066833496,25.479999542236328,12.380000114440918,0,0.8929999828338624,1,0.8929999828338624,0.9999999999999998,Simulation,5
1,1,Field,1992-08-07 12:00:00,1992,8,7,,4.556569070017049,0,17.42409896850586,28.43000030517578,17.649999618530273,0,1,1,1,1,Simulation,5
1,1,Field,1992-08-08 12:00:00,1992,8,8,,4.662199591513295,0,22.5216121673584,33.279998779296875,16.09000015258789,0,1,1,1,1,Simulation,5
1,1,Field,1992-08-09 12:00:00,1992,8,9,,4.780992305531774,0,19.210960388183594,32.31999969482422,18.940000534057617,0,1,1,1,1,Simulation,5
